,,,,,,,,,,,,,,,
,,,,全社LAN申請_別紙,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,SRC,,,,,DST,,,Service,,,
,No,ロケーション/担当,種別,セグメント,IPアドレス,説明,ロケーション/担当,種別,セグメント,IPアドレス,説明,プロトコル,ポート番号,説明,Action
,18,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),10.52.31.9,バックアップサーバー,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"192.168.101.104(2019/3/7発行)
新規取得No1(DMZ3でお願いします。192.168.101.101と同じセグメント)
",セキュリティテスト用,TCP,"80
443","HTTP
HTTPS",Permit
,19,横浜DC/ICTインフラ2T,イントラ,CS-ERP監視用PC,"2019/3/19発行 10.52.24.10
新規取得No2(CS-ERP ASA5525外側と同じセグメントでお願いします。",CS-ERP監視用PC,横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CSERP(横浜DC),"10.14.220.102/31
10.14.220.149",CS-ERP用AD,TCP/UDP,53,Active Directory,Permit
,,,,,,,,,,,,TCP/UDP,88,,
,,,,,,,,,,,,TCP/UDP,389,,
,,,,,,,,,,,,TCP/UDP,1025 - 5000,,
,,,,,,,,,,,,TCP/UDP,49152 - 65535,,
,,,,,,,,,,,,TCP,135,,
,,,,,,,,,,,,TCP,139,,
,,,,,,,,,,,,TCP,445,,
,,,,,,,,,,,,TCP,464,,
,,,,,,,,,,,,TCP,636,,
,,,,,,,,,,,,TCP,9389,,
,,,,,,,,,,,,UDP,123,,
,,,,,,,,,,,,UDP,"137-138,445",,
,20,横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CS-ERP AD,"10.14.220.102/31
10.14.220.149",CS-ERP用AD,横浜DC/ICTインフラ2T,イントラ,CSERP(横浜DC),"2019/3/19発行 10.52.24.10
新規取得No2(CS-ERP ASA5525外側と同じセグメントでお願いします。",CS-ERP監視用PC,TCP/UDP,53,Active Directory,Permit
,,,,,,,,,,,,TCP/UDP,88,,
,,,,,,,,,,,,TCP/UDP,389,,
,,,,,,,,,,,,TCP/UDP,1025 - 5000,,
,,,,,,,,,,,,TCP/UDP,49152 - 65535,,
,,,,,,,,,,,,TCP,135,,
,,,,,,,,,,,,TCP,139,,
,,,,,,,,,,,,TCP,445,,
,,,,,,,,,,,,TCP,464,,
,,,,,,,,,,,,TCP,636,,
,,,,,,,,,,,,TCP,9389,,
,,,,,,,,,,,,UDP,123,,
,,,,,,,,,,,,UDP,"137-138,445",,
,21,横浜DC/ICTインフラ2T,イントラ,CS-ERP監視用PC,"2019/3/19発行 10.52.24.10
新規取得No2(CS-ERP ASA5525外側と同じセグメントでお願いします。",CS-ERP監視用PC,横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CSERP(横浜DC),"144.1.52.244
144.1.52.251",英語版ウィルスバスターサーバー,TCP,4343,OfficeScan,Permit
,,,,,,,,,,,,TCP,4345,,
,,,,,,,,,,,,TCP,8080,,
,,,,,,,,,,,,TCP,8082,,
,,,,,,,,,,,,TCP,5274,,
,,,,,,,,,,,,TCP,59803,,
,,,,,,,,,,,,UDP,4343,,
,,,,,,,,,,,,,,,
,22,横浜DC/ICTインフラ2T・国際FW,イントラ,OfficeScanサーバー,"144.1.52.244
144.1.52.251",英語版ウィルスバスターサーバー,横浜DC/ICTインフラ2T,イントラ,CSERP(横浜DC),"2019/3/19発行 10.52.24.10
新規取得No2(CS-ERP ASA5525外側と同じセグメントでお願いします。",CS-ERP監視用PC,TCP,4343,OfficeScan,Permit
,,,,,,,,,,,,TCP,4345,,
,,,,,,,,,,,,TCP,8080,,
,,,,,,,,,,,,TCP,8082,,
,,,,,,,,,,,,TCP,5274,,
,,,,,,,,,,,,TCP,59803,,
,,,,,,,,,,,,UDP,4343,,
,,,,,,,,,,,,,,,
,23,MITAC/名航NW担当&MRJインフラT,イントラ,空港ビル(MITAC),"10.14.232.0/21
10.14.240.0/23
10.14.242.0/24
10.14.244.0/24
10.14.247.0/24
",OA PC,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),"2019/3/19発行 10.52.24.10
新規取得No2(CS-ERP ASA5525外側と同じセグメントでお願いします。",CS-ERP監視用PC,TCP,9859,RDP(デフォルトポートから変更),Permit
,24,名航NW担当,イントラ,最終組み立て工場(名航),"172.18.244.64/26
172.18.244.128/26
172.18.244.192/26
172.18.244.0/26
172.18.85.120/29
10.14.177.192/26
172.18.99.128/26
10.14.174.64/26
10.14.174.128/26
10.14.174.192/26
172.18.247.128/26
172.18.247.192/26
172.18.248.0/26
172.18.248.64/26
172.18.248.128/26
172.18.248.192/26
172.18.250.0/26
172.18.250.64/26
172.18.250.128/26
172.18.250.192/26
172.18.251.0/26
172.18.251.64/26
172.18.251.128/26
172.18.251.192/26
10.14.174.0/26
10.14.175.0/27
10.14.175.64/26
10.14.175.128/26
10.14.177.64/26
10.14.177.128/26
10.14.146.64/26
172.18.253.62/26
172.18.207.62/26
10.14.177.62/26
10.14.178.0/26
10.14.178.64/26
10.14.177.192/26",OA PC,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"
192.168.101.102
192.168.101.103
192.168.101.101
192.168.101.65","XMLGateway#1,#2",TCP,"80
443","HTTP
HTTPS",Permit
,25,名航NW担当,イントラ,最終組み立て工場(名航),"172.18.244.64/26
172.18.244.128/26
172.18.244.192/26
172.18.244.0/26
172.18.85.120/29
10.14.177.192/26
172.18.99.128/26
10.14.174.64/26
10.14.174.128/26
10.14.174.192/26
172.18.247.128/26
172.18.247.192/26
172.18.248.0/26
172.18.248.64/26
172.18.248.128/26
172.18.248.192/26
172.18.250.0/26
172.18.250.64/26
172.18.250.128/26
172.18.250.192/26
172.18.251.0/26
172.18.251.64/26
172.18.251.128/26
172.18.251.192/26
10.14.174.0/26
10.14.175.0/27
10.14.175.64/26
10.14.175.128/26
10.14.177.64/26
10.14.177.128/26
10.14.146.64/26
172.18.253.62/26
172.18.207.62/26
10.14.177.62/26
10.14.178.0/26
10.14.178.64/26
10.14.177.192/26",OA PC,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),"10.52.31.9
10.52.31.19",バックアップサーバ/eFDS,TCP,3389,RDP,Permit
,26,丸の内本社/ICTインフラ2T,イントラ,丸の内本社(シンクラ),10.57.8.0/21,OA PC,横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CSERP(横浜DC),10.14.220.0/23,CS-ERP SAPサーバー,TCP,"25,80,443
515,1090
3200-3399
3600-3699
4800-4899
8000-8199
44300-44499
50000-59901",SAP GUI,Permit
,,,,,,,,,,,,TCP,"20244,22275
20450,24201",JP1 View/PO,Permit
,,,,,,,,,,,,TCP,"137,139,445",SMB,Permit
,,,,,,,,,,,,UDP,"137,138,445",,
,,,,,,,,,,,,TCP,"9,859",VNC,Permit
,27,丸の内本社/ICTインフラ2T,イントラ,丸の内本社(シンクラ),10.57.8.0/21,OA PC,横浜DC/ICTインフラ2T & CS-ERPT,イントラ,CSERP(横浜DC),"10.14.221.229/32
10.14.221.230/32
10.14.220.65/32
10.14.220.66/32",CS-ERP SPMサーバー,TCP,"80
81
82
1433
8080
9000
45450",SPM,Permit
,28,MITAC/名航NW担当&MRJインフラT,イントラ,最終組立工場,"172.18.244.64/26
172.18.244.128/26
172.18.244.192/26
172.18.244.0/26
172.18.85.120/29
10.14.177.192/26
172.18.99.128/26
10.14.174.64/26
10.14.174.128/26
10.14.174.192/26
172.18.247.128/26
172.18.247.192/26
172.18.248.0/26
172.18.248.64/26
172.18.248.128/26
172.18.248.192/26
172.18.250.0/26
172.18.250.64/26
172.18.250.128/26
172.18.250.192/26
172.18.251.0/26
172.18.251.64/26
172.18.251.128/26
172.18.251.192/26
10.14.174.0/26
10.14.175.0/27
10.14.175.64/26
10.14.175.128/26
10.14.177.64/26
10.14.177.128/26
10.14.146.64/26
172.18.253.62/26
172.18.207.62/26
10.14.177.62/26
10.14.178.0/26
10.14.178.64/26
10.14.177.192/26",OA PC,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),"2019/3/19発行 10.52.24.10
新規取得No2(CS-ERP ASA5525外側と同じセグメントでお願いします。",CS-ERP監視用PC,TCP,9859,RDP(デフォルトポートから変更),Permit
,29,名航NW担当,イントラ,"菱友システムズ(請負,大江菱興ビル南館・分室)",172.18.85.192/26,OA PC,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),"2019/3/19発行 10.52.24.10
新規取得No2(CS-ERP ASA5525外側と同じセグメントでお願いします。",CS-ERP監視用PC,TCP,9859,RDP(デフォルトポートから変更),Permit
,30,名航NW担当,イントラ,"菱友システムズ(請負,大江菱興ビル南館・分室)",172.18.85.192/26,OA PC,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),"
192.168.101.102
192.168.101.103
192.168.101.101
192.168.101.65","XMLGateway#1,#2",TCP,"80
443","HTTP
HTTPS",Permit
,31,名航NW担当,イントラ,"菱友システムズ(請負,大江菱興ビル南館・分室)",172.18.85.192/26,OA PC,横浜DC/ICTインフラ2T,イントラ,MITAC_SSO(横浜DC),"10.52.31.9
10.52.31.19",バックアップサーバ/eFDS,TCP,3389,RDP,Permit
,32,横浜DC/ICTインフラ2T,インターネット,インターネット,"130.76.24.0/23
130.76.32.0/22
130.76.64.0/22
130.76.96.0/22
130.76.186.0/23
122.220.189.66-122.220.189.70
202.32.46.1
202.32.46.6
202.32.46.12
202.32.46.102
210.199.211.238-210.199.211.241
210.199.211.248-210.199.211.249
202.32.46.136
61.202.226.66
118.103.44.174
202.237.114.1
192.48.23.0/24
221.254.46.37
221.254.46.38
101.102.169.198
130.76.184.0/23
202.248.143.84
202.248.143.92
219.97.239.236
219.97.239.244",CS Outside,横浜DC/ICTインフラ2T,DMZ,DMZ(横浜DC),グローバル:133.163.141.183/(NAT DMZアドレス：192.168.101.101),DMZ2_XMLGW_VIP,TCP,443,HTTPS,Permit
,33,,,インターネット,"(XML_Gateway更新)_NW情報発行依頼.xlsx
3 仮想IPCOM(グローバル、DMZ2)",DMZ2_XMLGW_VIP,,,DMZ(横浜DC),Service Now連携先(未定),MRJIT_SERVICENOW,TCP,未定,HTTPS,Permit
,34,,,DMZ(横浜DC),Service Now連携先(未定),MRJIT_SERVICENOW,,,インターネット,"(XML_Gateway更新)_NW情報発行依頼.xlsx
3 仮想IPCOM(グローバル、DMZ2)",DMZ2_XMLGW_VIP,TCP,未定,HTTPS,Permit
